r,N
0.0001,4.50854e-08
0.000100231,4.52935e-08
0.000100462,4.55026e-08
0.000100693,4.57127e-08
0.000100925,4.59237e-08
0.000101158,4.61357e-08
0.000101391,4.63487e-08
0.000101625,4.65627e-08
0.00010186,4.67777e-08
0.000102094,4.69936e-08
0.00010233,4.72106e-08
0.000102566,4.74286e-08
0.000102802,4.76475e-08
0.000103039,4.78675e-08
0.000103277,4.80885e-08
0.000103515,4.83105e-08
0.000103754,4.85335e-08
0.000103993,4.87576e-08
0.000104233,4.89827e-08
0.000104473,4.92088e-08
0.000104714,4.9436e-08
0.000104955,4.96643e-08
0.000105197,4.98935e-08
0.00010544,5.01239e-08
0.000105683,5.03553e-08
0.000105927,5.05878e-08
0.000106171,5.08213e-08
0.000106416,5.10559e-08
0.000106661,5.12917e-08
0.000106907,5.15285e-08
0.000107153,5.17664e-08
0.0001074,5.20053e-08
0.000107648,5.22454e-08
0.000107896,5.24866e-08
0.000108145,5.2729e-08
0.000108394,5.29724e-08
0.000108644,5.32169e-08
0.000108895,5.34626e-08
0.000109146,5.37095e-08
0.000109398,5.39574e-08
0.00010965,5.42065e-08
0.000109903,5.44568e-08
0.000110156,5.47082e-08
0.00011041,5.49608e-08
0.000110665,5.52145e-08
0.00011092,5.54694e-08
0.000111176,5.57255e-08
0.000111432,5.59828e-08
0.000111689,5.62412e-08
0.000111946,5.65009e-08
0.000112204,5.67617e-08
0.000112463,5.70238e-08
0.000112722,5.7287e-08
0.000112982,5.75515e-08
0.000113243,5.78172e-08
0.000113504,5.80841e-08
0.000113766,5.83523e-08
0.000114028,5.86217e-08
0.000114291,5.88923e-08
0.000114554,5.91642e-08
0.000114819,5.94374e-08
0.000115083,5.97118e-08
0.000115349,5.99874e-08
0.000115615,6.02644e-08
0.000115881,6.05426e-08
0.000116148,6.08221e-08
0.000116416,6.11029e-08
0.000116685,6.1385e-08
0.000116954,6.16684e-08
0.000117223,6.19531e-08
0.000117494,6.22391e-08
0.000117764,6.25265e-08
0.000118036,6.28151e-08
0.000118308,6.31051e-08
0.000118581,6.33965e-08
0.000118854,6.36892e-08
0.000119128,6.39832e-08
0.000119403,6.42786e-08
0.000119678,6.45753e-08
0.000119954,6.48735e-08
0.000120231,6.5173e-08
0.000120508,6.54739e-08
0.000120786,6.57761e-08
0.000121064,6.60798e-08
0.000121344,6.63849e-08
0.000121623,6.66914e-08
0.000121904,6.69993e-08
0.000122185,6.73086e-08
0.000122467,6.76193e-08
0.000122749,6.79315e-08
0.000123032,6.82451e-08
0.000123316,6.85602e-08
0.0001236,6.88767e-08
0.000123885,6.91947e-08
0.000124171,6.95141e-08
0.000124457,6.98351e-08
0.000124744,7.01575e-08
0.000125031,7.04814e-08
0.00012532,7.08068e-08
0.000125609,7.11337e-08
0.000125898,7.14621e-08
0.000126189,7.1792e-08
0.00012648,7.21234e-08
0.000126771,7.24564e-08
0.000127063,7.27909e-08
0.000127356,7.3127e-08
0.00012765,7.34646e-08
0.000127944,7.38037e-08
0.000128239,7.41445e-08
0.000128535,7.44868e-08
0.000128831,7.48307e-08
0.000129129,7.51761e-08
0.000129426,7.55232e-08
0.000129725,7.58719e-08
0.000130024,7.62221e-08
0.000130324,7.6574e-08
0.000130624,7.69276e-08
0.000130925,7.72827e-08
0.000131227,7.76395e-08
0.00013153,7.79979e-08
0.000131833,7.8358e-08
