r,N
0.0001,8.83268e-08
0.000100231,8.87346e-08
0.000100462,8.91443e-08
0.000100693,8.95558e-08
0.000100925,8.99693e-08
0.000101158,9.03846e-08
0.000101391,9.08019e-08
0.000101625,9.12211e-08
0.00010186,9.16423e-08
0.000102094,9.20654e-08
0.00010233,9.24904e-08
0.000102566,9.29174e-08
0.000102802,9.33464e-08
0.000103039,9.37773e-08
0.000103277,9.42103e-08
0.000103515,9.46452e-08
0.000103754,9.50822e-08
0.000103993,9.55211e-08
0.000104233,9.59621e-08
0.000104473,9.64051e-08
0.000104714,9.68502e-08
0.000104955,9.72974e-08
0.000105197,9.77465e-08
0.00010544,9.81978e-08
0.000105683,9.86512e-08
0.000105927,9.91066e-08
0.000106171,9.95642e-08
0.000106416,1.00024e-07
0.000106661,1.00486e-07
0.000106907,1.0095e-07
0.000107153,1.01416e-07
0.0001074,1.01884e-07
0.000107648,1.02354e-07
0.000107896,1.02827e-07
0.000108145,1.03301e-07
0.000108394,1.03778e-07
0.000108644,1.04257e-07
0.000108895,1.04739e-07
0.000109146,1.05222e-07
0.000109398,1.05708e-07
0.00010965,1.06196e-07
0.000109903,1.06686e-07
0.000110156,1.07179e-07
0.00011041,1.07674e-07
0.000110665,1.08171e-07
0.00011092,1.0867e-07
0.000111176,1.09172e-07
0.000111432,1.09676e-07
0.000111689,1.10182e-07
0.000111946,1.10691e-07
0.000112204,1.11202e-07
0.000112463,1.11715e-07
0.000112722,1.12231e-07
0.000112982,1.12749e-07
0.000113243,1.1327e-07
0.000113504,1.13793e-07
0.000113766,1.14318e-07
0.000114028,1.14846e-07
0.000114291,1.15376e-07
0.000114554,1.15909e-07
0.000114819,1.16444e-07
0.000115083,1.16981e-07
0.000115349,1.17522e-07
0.000115615,1.18064e-07
0.000115881,1.18609e-07
0.000116148,1.19157e-07
0.000116416,1.19707e-07
0.000116685,1.2026e-07
0.000116954,1.20815e-07
0.000117223,1.21372e-07
0.000117494,1.21933e-07
0.000117764,1.22496e-07
0.000118036,1.23061e-07
0.000118308,1.23629e-07
0.000118581,1.242e-07
0.000118854,1.24774e-07
0.000119128,1.2535e-07
0.000119403,1.25928e-07
0.000119678,1.2651e-07
0.000119954,1.27094e-07
0.000120231,1.27681e-07
0.000120508,1.2827e-07
0.000120786,1.28862e-07
0.000121064,1.29457e-07
0.000121344,1.30055e-07
0.000121623,1.30655e-07
0.000121904,1.31258e-07
0.000122185,1.31864e-07
0.000122467,1.32473e-07
0.000122749,1.33085e-07
0.000123032,1.33699e-07
0.000123316,1.34316e-07
0.0001236,1.34936e-07
0.000123885,1.35559e-07
0.000124171,1.36185e-07
0.000124457,1.36814e-07
0.000124744,1.37446e-07
0.000125031,1.3808e-07
0.00012532,1.38718e-07
0.000125609,1.39358e-07
0.000125898,1.40001e-07
0.000126189,1.40648e-07
0.00012648,1.41297e-07
0.000126771,1.41949e-07
0.000127063,1.42605e-07
0.000127356,1.43263e-07
0.00012765,1.43925e-07
0.000127944,1.44589e-07
0.000128239,1.45257e-07
0.000128535,1.45927e-07
0.000128831,1.46601e-07
0.000129129,1.47278e-07
0.000129426,1.47958e-07
0.000129725,1.48641e-07
0.000130024,1.49327e-07
0.000130324,1.50016e-07
0.000130624,1.50709e-07
0.000130925,1.51405e-07
0.000131227,1.52104e-07
0.00013153,1.52806e-07
0.000131833,1.53511e-07
0.000132137,1.5422e-07
0.000132442,1.54932e-07
0.000132747,1.55647e-07
0.000133053,1.56366e-07
0.00013336,1.57088e-07
0.000133667,1.57813e-07
0.000133976,1.58542e-07
0.000134284,1.59274e-07
0.000134594,1.60009e-07
0.000134904,1.60748e-07
0.000135215,1.6149e-07
0.000135527,1.62235e-07
0.00013584,1.62984e-07
0.000136153,1.63737e-07
0.000136467,1.64493e-07
0.000136781,1.65252e-07
0.000137097,1.66015e-07
0.000137413,1.66781e-07
0.00013773,1.67551e-07
0.000138047,1.68325e-07
0.000138366,1.69102e-07
0.000138685,1.69883e-07
