W,sigma_GLC,sigma_BG
30.97,22.4991,22.8934
51.4787,34.7232,36.0201
85.5686,50.6872,53.7606
142.233,71.763,78.0417
236.422,99.2886,110.989
392.984,134.442,154.797
653.223,178.085,211.498
1085.8,230.59,282.649
1804.82,291.697,368.978
3000,360.448,470.08
