r,N
0.0001,2.35322e-09
0.000100231,2.36484e-09
0.000100462,2.37652e-09
0.000100693,2.38826e-09
0.000100925,2.40006e-09
0.000101158,2.41191e-09
0.000101391,2.42383e-09
0.000101625,2.4358e-09
0.00010186,2.44783e-09
0.000102094,2.45992e-09
0.00010233,2.47207e-09
0.000102566,2.48428e-09
0.000102802,2.49655e-09
0.000103039,2.50888e-09
0.000103277,2.52127e-09
0.000103515,2.53373e-09
0.000103754,2.54624e-09
0.000103993,2.55882e-09
0.000104233,2.57146e-09
0.000104473,2.58416e-09
0.000104714,2.59693e-09
0.000104955,2.60976e-09
0.000105197,2.62265e-09
0.00010544,2.6356e-09
0.000105683,2.64862e-09
0.000105927,2.66171e-09
0.000106171,2.67486e-09
0.000106416,2.68807e-09
0.000106661,2.70135e-09
0.000106907,2.71469e-09
0.000107153,2.7281e-09
0.0001074,2.74158e-09
0.000107648,2.75513e-09
0.000107896,2.76874e-09
0.000108145,2.78241e-09
0.000108394,2.79616e-09
0.000108644,2.80997e-09
0.000108895,2.82386e-09
0.000109146,2.83781e-09
0.000109398,2.85183e-09
0.00010965,2.86592e-09
0.000109903,2.88008e-09
0.000110156,2.89431e-09
0.00011041,2.90861e-09
0.000110665,2.92298e-09
0.00011092,2.93742e-09
0.000111176,2.95193e-09
0.000111432,2.96652e-09
0.000111689,2.98117e-09
0.000111946,2.9959e-09
0.000112204,3.0107e-09
0.000112463,3.02558e-09
0.000112722,3.04053e-09
0.000112982,3.05555e-09
0.000113243,3.07065e-09
0.000113504,3.08582e-09
0.000113766,3.10107e-09
0.000114028,3.11639e-09
0.000114291,3.13179e-09
0.000114554,3.14727e-09
0.000114819,3.16282e-09
0.000115083,3.17845e-09
0.000115349,3.19415e-09
0.000115615,3.20994e-09
0.000115881,3.2258e-09
0.000116148,3.24174e-09
0.000116416,3.25776e-09
0.000116685,3.27386e-09
0.000116954,3.29004e-09
0.000117223,3.30629e-09
0.000117494,3.32263e-09
0.000117764,3.33905e-09
0.000118036,3.35555e-09
0.000118308,3.37213e-09
0.000118581,3.3888e-09
0.000118854,3.40555e-09
0.000119128,3.42238e-09
0.000119403,3.43929e-09
0.000119678,3.45629e-09
0.000119954,3.47337e-09
0.000120231,3.49053e-09
0.000120508,3.50778e-09
0.000120786,3.52512e-09
0.000121064,3.54254e-09
0.000121344,3.56005e-09
0.000121623,3.57765e-09
0.000121904,3.59533e-09
0.000122185,3.6131e-09
0.000122467,3.63095e-09
0.000122749,3.6489e-09
0.000123032,3.66693e-09
0.000123316,3.68506e-09
0.0001236,3.70327e-09
0.000123885,3.72158e-09
0.000124171,3.73997e-09
0.000124457,3.75846e-09
0.000124744,3.77703e-09
0.000125031,3.7957e-09
0.00012532,3.81446e-09
0.000125609,3.83332e-09
0.000125898,3.85227e-09
0.000126189,3.87131e-09
0.00012648,3.89044e-09
0.000126771,3.90967e-09
0.000127063,3.929e-09
0.000127356,3.94842e-09
0.00012765,3.96794e-09
0.000127944,3.98755e-09
0.000128239,4.00726e-09
0.000128535,4.02707e-09
0.000128831,4.04698e-09
0.000129129,4.06698e-09
0.000129426,4.08709e-09
0.000129725,4.10729e-09
0.000130024,4.1276e-09
0.000130324,4.148e-09
0.000130624,4.16851e-09
0.000130925,4.18911e-09
0.000131227,4.20982e-09
0.00013153,4.23064e-09
0.000131833,4.25155e-09
0.000132137,4.27257e-09
0.000132442,4.29369e-09
0.000132747,4.31492e-09
0.000133053,4.33625e-09
0.00013336,4.35769e-09
0.000133667,4.37923e-09
0.000133976,4.40088e-09
0.000134284,4.42264e-09
0.000134594,4.44451e-09
0.000134904,4.46648e-09
0.000135215,4.48856e-09
0.000135527,4.51076e-09
0.00013584,4.53306e-09
0.000136153,4.55547e-09
0.000136467,4.57799e-09
0.000136781,4.60063e-09
0.000137097,4.62338e-09
0.000137413,4.64624e-09
0.00013773,4.66921e-09
0.000138047,4.6923e-09
0.000138366,4.7155e-09
0.000138685,4.73881e-09
0.000139004,4.76225e-09
0.000139325,4.78579e-09
0.000139646,4.80946e-09
0.000139968,4.83324e-09
0.000140291,4.85714e-09
0.000140614,4.88115e-09
0.000140939,4.90529e-09
0.000141264,4.92955e-09
0.000141589,4.95392e-09
0.000141916,4.97842e-09
0.000142243,5.00304e-09
0.000142571,5.02778e-09
0.0001429,5.05264e-09
0.000143229,5.07763e-09
0.000143559,5.10274e-09
0.00014389,5.12797e-09
0.000144222,5.15333e-09
0.000144555,5.17882e-09
0.000144888,5.20443e-09
0.000145222,5.23016e-09
0.000145557,5.25603e-09
0.000145892,5.28202e-09
0.000146229,5.30814e-09
0.000146566,5.3344e-09
0.000146904,5.36078e-09
0.000147243,5.38729e-09
0.000147582,5.41393e-09
0.000147922,5.44071e-09
0.000148263,5.46762e-09
0.000148605,5.49466e-09
0.000148948,5.52183e-09
0.000149291,5.54914e-09
0.000149636,5.57659e-09
0.000149981,5.60417e-09
0.000150326,5.63189e-09
0.000150673,5.65974e-09
0.00015102,5.68774e-09
0.000151369,5.71587e-09
0.000151718,5.74414e-09
0.000152068,5.77255e-09
0.000152418,5.8011e-09
0.00015277,5.8298e-09
0.000153122,5.85863e-09
0.000153475,5.88761e-09
0.000153829,5.91673e-09
0.000154183,5.946e-09
0.000154539,5.97541e-09
0.000154895,6.00497e-09
0.000155252,6.03467e-09
0.00015561,6.06452e-09
0.000155969,6.09452e-09
0.000156329,6.12467e-09
0.000156689,6.15497e-09
0.00015705,6.18541e-09
0.000157413,6.21601e-09
0.000157776,6.24676e-09
0.000158139,6.27766e-09
0.000158504,6.30872e-09
0.000158869,6.33993e-09
0.000159236,6.37129e-09
0.000159603,6.40281e-09
0.000159971,6.43448e-09
0.00016034,6.46631e-09
0.000160709,6.4983e-09
0.00016108,6.53045e-09
0.000161451,6.56276e-09
0.000161824,6.59523e-09
0.000162197,6.62786e-09
0.000162571,6.66065e-09
0.000162946,6.6936e-09
0.000163321,6.72671e-09
0.000163698,6.75999e-09
0.000164075,6.79344e-09
0.000164454,6.82705e-09
0.000164833,6.86083e-09
0.000165213,6.89477e-09
0.000165594,6.92888e-09
0.000165976,6.96317e-09
0.000166358,6.99762e-09
0.000166742,7.03224e-09
0.000167126,7.06703e-09
0.000167512,7.102e-09
0.000167898,7.13714e-09
0.000168285,7.17245e-09
0.000168673,7.20794e-09
0.000169062,7.24361e-09
0.000169452,7.27945e-09
0.000169842,7.31547e-09
0.000170234,7.35167e-09
0.000170626,7.38804e-09
0.00017102,7.4246e-09
0.000171414,7.46134e-09
0.000171809,7.49826e-09
0.000172206,7.53536e-09
0.000172603,7.57265e-09
0.000173001,7.61012e-09
0.000173399,7.64778e-09
0.000173799,7.68563e-09
0.0001742,7.72366e-09
0.000174602,7.76188e-09
0.000175004,7.80029e-09
0.000175408,7.83889e-09
0.000175812,7.87768e-09
0.000176218,7.91667e-09
0.000176624,7.95585e-09
0.000177031,7.99522e-09
0.000177439,8.03479e-09
0.000177848,8.07455e-09
0.000178258,8.11451e-09
0.000178669,8.15467e-09
0.000179081,8.19502e-09
0.000179494,8.23558e-09
0.000179908,8.27634e-09
0.000180323,8.3173e-09
0.000180739,8.35847e-09
0.000181156,8.39983e-09
0.000181573,8.44141e-09
0.000181992,8.48318e-09
0.000182411,8.52517e-09
0.000182832,8.56736e-09
0.000183254,8.60977e-09
0.000183676,8.65238e-09
0.0001841,8.69521e-09
0.000184524,8.73824e-09
0.00018495,8.78149e-09
0.000185376,8.82496e-09
0.000185803,8.86864e-09
0.000186232,8.91254e-09
0.000186661,8.95665e-09
0.000187092,9.00098e-09
0.000187523,9.04554e-09
0.000187955,9.09031e-09
0.000188389,9.13531e-09
0.000188823,9.18053e-09
0.000189259,9.22597e-09
0.000189695,9.27164e-09
0.000190132,9.31753e-09
0.000190571,9.36366e-09
0.00019101,9.41001e-09
0.00019145,9.45659e-09
0.000191892,9.5034e-09
0.000192334,9.55044e-09
0.000192778,9.59772e-09
0.000193222,9.64523e-09
0.000193668,9.69298e-09
0.000194114,9.74096e-09
0.000194562,9.78919e-09
0.000195011,9.83765e-09
0.00019546,9.88635e-09
0.000195911,9.93529e-09
0.000196363,9.98448e-09
0.000196815,1.00339e-08
0.000197269,1.00836e-08
0.000197724,1.01335e-08
0.00019818,1.01837e-08
0.000198637,1.02341e-08
0.000199095,1.02848e-08
0.000199554,1.03357e-08
0.000200014,1.03868e-08
0.000200475,1.04383e-08
0.000200937,1.049e-08
0.000201401,1.05419e-08
0.000201865,1.05941e-08
0.00020233,1.06465e-08
0.000202797,1.06992e-08
0.000203265,1.07522e-08
0.000203733,1.08055e-08
0.000204203,1.0859e-08
0.000204674,1.09127e-08
0.000205146,1.09668e-08
0.000205619,1.10211e-08
0.000206093,1.10756e-08
0.000206568,1.11305e-08
0.000207044,1.11856e-08
0.000207522,1.1241e-08
0.000208,1.12966e-08
0.00020848,1.13526e-08
0.00020896,1.14088e-08
0.000209442,1.14653e-08
0.000209925,1.1522e-08
0.000210409,1.15791e-08
0.000210894,1.16364e-08
0.000211381,1.16941e-08
0.000211868,1.1752e-08
0.000212356,1.18102e-08
0.000212846,1.18687e-08
0.000213337,1.19274e-08
0.000213829,1.19865e-08
0.000214322,1.20459e-08
0.000214816,1.21055e-08
0.000215311,1.21655e-08
0.000215808,1.22257e-08
0.000216305,1.22862e-08
0.000216804,1.23471e-08
0.000217304,1.24082e-08
0.000217805,1.24697e-08
0.000218307,1.25314e-08
0.00021881,1.25935e-08
0.000219315,1.26559e-08
0.000219821,1.27186e-08
0.000220327,1.27815e-08
0.000220835,1.28448e-08
0.000221345,1.29085e-08
0.000221855,1.29724e-08
0.000222367,1.30366e-08
0.000222879,1.31012e-08
0.000223393,1.31661e-08
0.000223908,1.32313e-08
0.000224424,1.32968e-08
0.000224942,1.33627e-08
0.000225461,1.34289e-08
0.00022598,1.34954e-08
0.000226501,1.35623e-08
0.000227024,1.36294e-08
0.000227547,1.36969e-08
0.000228072,1.37648e-08
0.000228598,1.3833e-08
0.000229125,1.39015e-08
0.000229653,1.39703e-08
0.000230183,1.40395e-08
0.000230713,1.41091e-08
0.000231245,1.4179e-08
0.000231778,1.42492e-08
0.000232313,1.43198e-08
0.000232848,1.43907e-08
0.000233385,1.4462e-08
0.000233923,1.45337e-08
0.000234463,1.46056e-08
0.000235003,1.4678e-08
0.000235545,1.47507e-08
0.000236088,1.48238e-08
0.000236633,1.48972e-08
0.000237178,1.4971e-08
0.000237725,1.50452e-08
0.000238273,1.51197e-08
0.000238823,1.51946e-08
0.000239373,1.52699e-08
0.000239925,1.53455e-08
0.000240478,1.54216e-08
0.000241033,1.5498e-08
0.000241589,1.55748e-08
0.000242146,1.56519e-08
0.000242704,1.57295e-08
0.000243264,1.58074e-08
0.000243825,1.58857e-08
0.000244387,1.59644e-08
0.00024495,1.60435e-08
0.000245515,1.6123e-08
0.000246081,1.62029e-08
0.000246648,1.62831e-08
0.000247217,1.63638e-08
0.000247787,1.64449e-08
0.000248358,1.65264e-08
0.000248931,1.66083e-08
0.000249505,1.66906e-08
0.00025008,1.67733e-08
0.000250657,1.68564e-08
0.000251235,1.69399e-08
0.000251814,1.70238e-08
0.000252395,1.71082e-08
0.000252977,1.7193e-08
0.00025356,1.72781e-08
0.000254145,1.73638e-08
0.000254731,1.74498e-08
0.000255318,1.75363e-08
0.000255907,1.76232e-08
0.000256497,1.77105e-08
0.000257088,1.77983e-08
0.000257681,1.78864e-08
0.000258275,1.79751e-08
0.000258871,1.80642e-08
0.000259467,1.81537e-08
0.000260066,1.82436e-08
0.000260665,1.8334e-08
0.000261266,1.84249e-08
0.000261869,1.85162e-08
0.000262473,1.8608e-08
0.000263078,1.87002e-08
0.000263684,1.87929e-08
0.000264292,1.8886e-08
0.000264902,1.89796e-08
0.000265512,1.90736e-08
0.000266125,1.91682e-08
0.000266738,1.92632e-08
0.000267353,1.93586e-08
0.00026797,1.94546e-08
0.000268588,1.9551e-08
0.000269207,1.96479e-08
0.000269828,1.97453e-08
0.00027045,1.98431e-08
0.000271073,1.99415e-08
0.000271698,2.00403e-08
0.000272325,2.01396e-08
0.000272953,2.02395e-08
0.000273582,2.03398e-08
0.000274213,2.04406e-08
0.000274845,2.05419e-08
0.000275479,2.06437e-08
0.000276114,2.0746e-08
0.000276751,2.08489e-08
0.000277389,2.09522e-08
0.000278028,2.10561e-08
0.000278669,2.11604e-08
0.000279312,2.12653e-08
0.000279956,2.13707e-08
0.000280601,2.14767e-08
0.000281248,2.15831e-08
0.000281897,2.16901e-08
0.000282547,2.17976e-08
0.000283198,2.19057e-08
0.000283851,2.20143e-08
0.000284506,2.21234e-08
0.000285162,2.22331e-08
0.000285819,2.23433e-08
0.000286478,2.2454e-08
0.000287139,2.25653e-08
0.000287801,2.26772e-08
0.000288464,2.27896e-08
0.000289129,2.29026e-08
0.000289796,2.30161e-08
0.000290464,2.31302e-08
0.000291134,2.32449e-08
0.000291805,2.33601e-08
0.000292478,2.3476e-08
0.000293152,2.35923e-08
0.000293828,2.37093e-08
0.000294506,2.38268e-08
0.000295185,2.3945e-08
0.000295865,2.40637e-08
0.000296548,2.4183e-08
0.000297231,2.43029e-08
0.000297917,2.44234e-08
0.000298604,2.45445e-08
0.000299292,2.46662e-08
0.000299982,2.47885e-08
0.000300674,2.49114e-08
0.000301367,2.50349e-08
0.000302062,2.5159e-08
0.000302758,2.52837e-08
0.000303456,2.54091e-08
0.000304156,2.55351e-08
0.000304857,2.56617e-08
0.00030556,2.57889e-08
0.000306265,2.59168e-08
0.000306971,2.60453e-08
0.000307679,2.61745e-08
0.000308388,2.63042e-08
0.000309099,2.64347e-08
0.000309812,2.65658e-08
0.000310526,2.66975e-08
0.000311242,2.68299e-08
0.00031196,2.69629e-08
0.000312679,2.70966e-08
0.0003134,2.7231e-08
0.000314123,2.7366e-08
0.000314847,2.75017e-08
0.000315573,2.76381e-08
0.000316301,2.77752e-08
0.00031703,2.79129e-08
0.000317761,2.80513e-08
0.000318494,2.81904e-08
0.000319228,2.83302e-08
0.000319964,2.84707e-08
0.000320702,2.86119e-08
0.000321441,2.87538e-08
0.000322182,2.88964e-08
0.000322925,2.90397e-08
0.00032367,2.91837e-08
0.000324416,2.93285e-08
0.000325164,2.94739e-08
0.000325914,2.96201e-08
0.000326665,2.9767e-08
0.000327418,2.99146e-08
0.000328173,3.0063e-08
0.00032893,3.02121e-08
0.000329688,3.03619e-08
0.000330449,3.05125e-08
0.00033121,3.06638e-08
0.000331974,3.08159e-08
0.00033274,3.09688e-08
0.000333507,3.11224e-08
0.000334276,3.12767e-08
0.000335046,3.14319e-08
0.000335819,3.15878e-08
0.000336593,3.17444e-08
0.000337369,3.19019e-08
0.000338147,3.20601e-08
0.000338927,3.22192e-08
0.000339708,3.2379e-08
0.000340492,3.25396e-08
0.000341277,3.2701e-08
0.000342064,3.28632e-08
0.000342852,3.30262e-08
0.000343643,3.319e-08
0.000344435,3.33547e-08
0.000345229,3.35201e-08
0.000346025,3.36864e-08
0.000346823,3.38535e-08
0.000347623,3.40214e-08
0.000348424,3.41902e-08
0.000349228,3.43598e-08
0.000350033,3.45303e-08
0.00035084,3.47015e-08
0.000351649,3.48737e-08
0.00035246,3.50467e-08
0.000353272,3.52206e-08
0.000354087,3.53953e-08
0.000354903,3.55709e-08
0.000355722,3.57473e-08
0.000356542,3.59247e-08
0.000357364,3.61029e-08
0.000358188,3.6282e-08
0.000359014,3.6462e-08
0.000359841,3.66429e-08
0.000360671,3.68247e-08
0.000361503,3.70074e-08
0.000362336,3.7191e-08
0.000363172,3.73755e-08
0.000364009,3.7561e-08
0.000364848,3.77473e-08
0.00036569,3.79346e-08
0.000366533,3.81228e-08
0.000367378,3.8312e-08
0.000368225,3.85021e-08
0.000369074,3.86931e-08
0.000369925,3.88851e-08
0.000370778,3.9078e-08
0.000371633,3.92719e-08
0.00037249,3.94668e-08
0.000373349,3.96626e-08
0.000374209,3.98594e-08
0.000375072,4.00572e-08
0.000375937,4.02559e-08
0.000376804,4.04557e-08
0.000377673,4.06564e-08
0.000378543,4.08582e-08
0.000379416,4.10609e-08
