r,N
0.0001,1.15872e-08
0.000100231,1.16426e-08
0.000100462,1.16982e-08
0.000100693,1.17541e-08
0.000100925,1.18102e-08
0.000101158,1.18667e-08
0.000101391,1.19233e-08
0.000101625,1.19803e-08
0.00010186,1.20375e-08
0.000102094,1.20951e-08
0.00010233,1.21528e-08
0.000102566,1.22109e-08
0.000102802,1.22692e-08
0.000103039,1.23279e-08
0.000103277,1.23868e-08
0.000103515,1.24459e-08
0.000103754,1.25054e-08
0.000103993,1.25651e-08
0.000104233,1.26252e-08
0.000104473,1.26855e-08
0.000104714,1.27461e-08
0.000104955,1.2807e-08
0.000105197,1.28682e-08
0.00010544,1.29296e-08
0.000105683,1.29914e-08
0.000105927,1.30535e-08
0.000106171,1.31158e-08
0.000106416,1.31785e-08
0.000106661,1.32415e-08
0.000106907,1.33047e-08
0.000107153,1.33683e-08
0.0001074,1.34321e-08
0.000107648,1.34963e-08
0.000107896,1.35608e-08
0.000108145,1.36256e-08
0.000108394,1.36907e-08
0.000108644,1.37561e-08
0.000108895,1.38218e-08
0.000109146,1.38878e-08
0.000109398,1.39542e-08
0.00010965,1.40208e-08
0.000109903,1.40878e-08
0.000110156,1.41551e-08
0.00011041,1.42227e-08
0.000110665,1.42907e-08
0.00011092,1.4359e-08
0.000111176,1.44275e-08
0.000111432,1.44965e-08
0.000111689,1.45657e-08
0.000111946,1.46353e-08
0.000112204,1.47052e-08
0.000112463,1.47755e-08
0.000112722,1.48461e-08
0.000112982,1.4917e-08
0.000113243,1.49882e-08
0.000113504,1.50598e-08
0.000113766,1.51318e-08
0.000114028,1.52041e-08
0.000114291,1.52767e-08
0.000114554,1.53497e-08
0.000114819,1.5423e-08
0.000115083,1.54967e-08
0.000115349,1.55707e-08
0.000115615,1.56451e-08
0.000115881,1.57198e-08
0.000116148,1.57949e-08
0.000116416,1.58704e-08
0.000116685,1.59462e-08
0.000116954,1.60224e-08
0.000117223,1.60989e-08
0.000117494,1.61758e-08
0.000117764,1.62531e-08
0.000118036,1.63307e-08
0.000118308,1.64087e-08
0.000118581,1.64871e-08
0.000118854,1.65659e-08
0.000119128,1.6645e-08
