r,N
0.0001,4.11715e-08
0.000100231,4.13632e-08
0.000100462,4.15557e-08
0.000100693,4.17492e-08
0.000100925,4.19435e-08
0.000101158,4.21388e-08
0.000101391,4.23349e-08
0.000101625,4.2532e-08
0.00010186,4.273e-08
0.000102094,4.29289e-08
0.00010233,4.31287e-08
0.000102566,4.33295e-08
0.000102802,4.35311e-08
0.000103039,4.37338e-08
0.000103277,4.39373e-08
0.000103515,4.41419e-08
0.000103754,4.43473e-08
0.000103993,4.45537e-08
0.000104233,4.47611e-08
0.000104473,4.49695e-08
0.000104714,4.51788e-08
0.000104955,4.5389e-08
0.000105197,4.56003e-08
0.00010544,4.58125e-08
0.000105683,4.60258e-08
0.000105927,4.624e-08
0.000106171,4.64552e-08
0.000106416,4.66714e-08
0.000106661,4.68886e-08
0.000106907,4.71068e-08
0.000107153,4.7326e-08
0.0001074,4.75463e-08
0.000107648,4.77676e-08
0.000107896,4.79899e-08
0.000108145,4.82132e-08
0.000108394,4.84376e-08
0.000108644,4.8663e-08
0.000108895,4.88895e-08
0.000109146,4.9117e-08
0.000109398,4.93455e-08
0.00010965,4.95752e-08
0.000109903,4.98059e-08
0.000110156,5.00376e-08
0.00011041,5.02705e-08
0.000110665,5.05044e-08
0.00011092,5.07394e-08
0.000111176,5.09755e-08
0.000111432,5.12127e-08
0.000111689,5.1451e-08
0.000111946,5.16904e-08
0.000112204,5.19309e-08
0.000112463,5.21726e-08
0.000112722,5.24153e-08
0.000112982,5.26592e-08
0.000113243,5.29042e-08
0.000113504,5.31504e-08
0.000113766,5.33977e-08
0.000114028,5.36461e-08
0.000114291,5.38957e-08
0.000114554,5.41465e-08
0.000114819,5.43984e-08
0.000115083,5.46515e-08
0.000115349,5.49058e-08
0.000115615,5.51612e-08
0.000115881,5.54178e-08
0.000116148,5.56757e-08
0.000116416,5.59347e-08
0.000116685,5.61949e-08
0.000116954,5.64563e-08
0.000117223,5.6719e-08
0.000117494,5.69829e-08
0.000117764,5.72479e-08
0.000118036,5.75143e-08
0.000118308,5.77818e-08
0.000118581,5.80506e-08
0.000118854,5.83207e-08
0.000119128,5.8592e-08
0.000119403,5.88645e-08
0.000119678,5.91383e-08
0.000119954,5.94134e-08
0.000120231,5.96898e-08
0.000120508,5.99675e-08
0.000120786,6.02464e-08
0.000121064,6.05266e-08
0.000121344,6.08082e-08
0.000121623,6.1091e-08
0.000121904,6.13752e-08
0.000122185,6.16606e-08
0.000122467,6.19474e-08
0.000122749,6.22356e-08
0.000123032,6.2525e-08
0.000123316,6.28159e-08
0.0001236,6.3108e-08
0.000123885,6.34015e-08
0.000124171,6.36964e-08
0.000124457,6.39927e-08
0.000124744,6.42903e-08
0.000125031,6.45893e-08
0.00012532,6.48897e-08
0.000125609,6.51915e-08
0.000125898,6.54946e-08
0.000126189,6.57992e-08
0.00012648,6.61052e-08
0.000126771,6.64127e-08
0.000127063,6.67215e-08
0.000127356,6.70318e-08
0.00012765,6.73435e-08
0.000127944,6.76567e-08
0.000128239,6.79713e-08
0.000128535,6.82874e-08
0.000128831,6.86049e-08
0.000129129,6.8924e-08
0.000129426,6.92445e-08
0.000129725,6.95665e-08
0.000130024,6.98899e-08
0.000130324,7.02149e-08
0.000130624,7.05414e-08
0.000130925,7.08694e-08
0.000131227,7.1199e-08
0.00013153,7.153e-08
0.000131833,7.18626e-08
0.000132137,7.21967e-08
0.000132442,7.25324e-08
0.000132747,7.28697e-08
0.000133053,7.32085e-08
0.00013336,7.35489e-08
0.000133667,7.38908e-08
0.000133976,7.42344e-08
0.000134284,7.45795e-08
0.000134594,7.49262e-08
0.000134904,7.52746e-08
0.000135215,7.56245e-08
0.000135527,7.59761e-08
0.00013584,7.63294e-08
0.000136153,7.66842e-08
0.000136467,7.70407e-08
0.000136781,7.73989e-08
0.000137097,7.77587e-08
0.000137413,7.81202e-08
0.00013773,7.84833e-08
0.000138047,7.88482e-08
0.000138366,7.92147e-08
0.000138685,7.95829e-08
0.000139004,7.99529e-08
0.000139325,8.03245e-08
0.000139646,8.06979e-08
0.000139968,8.1073e-08
0.000140291,8.14499e-08
0.000140614,8.18285e-08
0.000140939,8.22089e-08
0.000141264,8.2591e-08
0.000141589,8.29749e-08
0.000141916,8.33605e-08
0.000142243,8.3748e-08
0.000142571,8.41373e-08
0.0001429,8.45283e-08
0.000143229,8.49212e-08
0.000143559,8.53159e-08
0.00014389,8.57124e-08
0.000144222,8.61108e-08
0.000144555,8.6511e-08
0.000144888,8.69131e-08
0.000145222,8.7317e-08
0.000145557,8.77228e-08
0.000145892,8.81305e-08
0.000146229,8.85401e-08
0.000146566,8.89516e-08
0.000146904,8.9365e-08
0.000147243,8.97803e-08
0.000147582,9.01975e-08
0.000147922,9.06166e-08
0.000148263,9.10378e-08
0.000148605,9.14608e-08
0.000148948,9.18858e-08
0.000149291,9.23128e-08
0.000149636,9.27418e-08
0.000149981,9.31727e-08
0.000150326,9.36057e-08
0.000150673,9.40406e-08
0.00015102,9.44776e-08
0.000151369,9.49166e-08
0.000151718,9.53577e-08
0.000152068,9.58007e-08
0.000152418,9.62459e-08
0.00015277,9.66931e-08
0.000153122,9.71423e-08
0.000153475,9.75937e-08
0.000153829,9.80471e-08
0.000154183,9.85027e-08
0.000154539,9.89603e-08
0.000154895,9.94201e-08
0.000155252,9.9882e-08
0.00015561,1.00346e-07
0.000155969,1.00812e-07
0.000156329,1.01281e-07
0.000156689,1.01751e-07
0.00015705,1.02224e-07
0.000157413,1.02699e-07
0.000157776,1.03176e-07
0.000158139,1.03655e-07
0.000158504,1.04137e-07
0.000158869,1.04621e-07
0.000159236,1.05107e-07
0.000159603,1.05595e-07
0.000159971,1.06085e-07
0.00016034,1.06578e-07
0.000160709,1.07073e-07
0.00016108,1.07571e-07
0.000161451,1.0807e-07
0.000161824,1.08572e-07
0.000162197,1.09077e-07
0.000162571,1.09583e-07
0.000162946,1.10092e-07
0.000163321,1.10604e-07
0.000163698,1.11117e-07
0.000164075,1.11633e-07
0.000164454,1.12152e-07
0.000164833,1.12673e-07
0.000165213,1.13196e-07
0.000165594,1.13722e-07
0.000165976,1.1425e-07
0.000166358,1.14781e-07
0.000166742,1.15314e-07
0.000167126,1.15849e-07
0.000167512,1.16387e-07
0.000167898,1.16928e-07
0.000168285,1.17471e-07
0.000168673,1.18016e-07
0.000169062,1.18565e-07
0.000169452,1.19115e-07
0.000169842,1.19668e-07
0.000170234,1.20224e-07
0.000170626,1.20782e-07
0.00017102,1.21343e-07
0.000171414,1.21907e-07
0.000171809,1.22473e-07
0.000172206,1.23041e-07
0.000172603,1.23613e-07
0.000173001,1.24187e-07
0.000173399,1.24763e-07
0.000173799,1.25343e-07
0.0001742,1.25925e-07
0.000174602,1.26509e-07
0.000175004,1.27097e-07
0.000175408,1.27687e-07
0.000175812,1.2828e-07
0.000176218,1.28875e-07
0.000176624,1.29474e-07
0.000177031,1.30075e-07
0.000177439,1.30679e-07
0.000177848,1.31286e-07
0.000178258,1.31895e-07
0.000178669,1.32507e-07
0.000179081,1.33123e-07
0.000179494,1.33741e-07
0.000179908,1.34362e-07
0.000180323,1.34985e-07
0.000180739,1.35612e-07
0.000181156,1.36242e-07
0.000181573,1.36874e-07
0.000181992,1.37509e-07
0.000182411,1.38148e-07
0.000182832,1.38789e-07
0.000183254,1.39433e-07
0.000183676,1.40081e-07
0.0001841,1.40731e-07
0.000184524,1.41384e-07
0.00018495,1.4204e-07
0.000185376,1.427e-07
0.000185803,1.43362e-07
0.000186232,1.44027e-07
0.000186661,1.44696e-07
0.000187092,1.45368e-07
0.000187523,1.46042e-07
0.000187955,1.4672e-07
0.000188389,1.47401e-07
0.000188823,1.48085e-07
0.000189259,1.48773e-07
0.000189695,1.49463e-07
0.000190132,1.50157e-07
0.000190571,1.50854e-07
0.00019101,1.51554e-07
0.00019145,1.52257e-07
0.000191892,1.52964e-07
0.000192334,1.53674e-07
0.000192778,1.54387e-07
0.000193222,1.55103e-07
0.000193668,1.55823e-07
0.000194114,1.56546e-07
0.000194562,1.57273e-07
0.000195011,1.58002e-07
0.00019546,1.58736e-07
0.000195911,1.59472e-07
0.000196363,1.60212e-07
0.000196815,1.60956e-07
0.000197269,1.61702e-07
0.000197724,1.62453e-07
0.00019818,1.63207e-07
0.000198637,1.63964e-07
0.000199095,1.64725e-07
0.000199554,1.65489e-07
0.000200014,1.66257e-07
0.000200475,1.67028e-07
0.000200937,1.67803e-07
0.000201401,1.68582e-07
0.000201865,1.69364e-07
0.00020233,1.7015e-07
0.000202797,1.70939e-07
0.000203265,1.71732e-07
0.000203733,1.72529e-07
0.000204203,1.73329e-07
0.000204674,1.74133e-07
0.000205146,1.74941e-07
0.000205619,1.75753e-07
0.000206093,1.76568e-07
0.000206568,1.77387e-07
0.000207044,1.7821e-07
0.000207522,1.79037e-07
0.000208,1.79867e-07
0.00020848,1.80701e-07
0.00020896,1.8154e-07
0.000209442,1.82382e-07
0.000209925,1.83228e-07
0.000210409,1.84078e-07
0.000210894,1.84931e-07
0.000211381,1.85789e-07
0.000211868,1.86651e-07
0.000212356,1.87517e-07
0.000212846,1.88386e-07
0.000213337,1.8926e-07
0.000213829,1.90138e-07
0.000214322,1.9102e-07
