r,N
0.0001,1.54992e-08
0.000100231,1.55707e-08
0.000100462,1.56426e-08
0.000100693,1.57148e-08
0.000100925,1.57874e-08
0.000101158,1.58602e-08
0.000101391,1.59335e-08
0.000101625,1.6007e-08
0.00010186,1.60809e-08
0.000102094,1.61552e-08
0.00010233,1.62298e-08
0.000102566,1.63047e-08
0.000102802,1.638e-08
0.000103039,1.64556e-08
0.000103277,1.65315e-08
0.000103515,1.66079e-08
0.000103754,1.66845e-08
0.000103993,1.67616e-08
0.000104233,1.6839e-08
0.000104473,1.69167e-08
0.000104714,1.69948e-08
0.000104955,1.70733e-08
0.000105197,1.71521e-08
0.00010544,1.72313e-08
0.000105683,1.73108e-08
0.000105927,1.73907e-08
0.000106171,1.7471e-08
0.000106416,1.75517e-08
0.000106661,1.76327e-08
0.000106907,1.77141e-08
0.000107153,1.77959e-08
0.0001074,1.78781e-08
0.000107648,1.79606e-08
0.000107896,1.80435e-08
0.000108145,1.81268e-08
0.000108394,1.82105e-08
0.000108644,1.82946e-08
0.000108895,1.8379e-08
0.000109146,1.84639e-08
0.000109398,1.85491e-08
0.00010965,1.86348e-08
0.000109903,1.87208e-08
0.000110156,1.88072e-08
0.00011041,1.88941e-08
0.000110665,1.89813e-08
0.00011092,1.90689e-08
0.000111176,1.91569e-08
0.000111432,1.92454e-08
0.000111689,1.93342e-08
0.000111946,1.94235e-08
0.000112204,1.95132e-08
0.000112463,1.96033e-08
0.000112722,1.96938e-08
0.000112982,1.97847e-08
0.000113243,1.9876e-08
0.000113504,1.99678e-08
0.000113766,2.006e-08
0.000114028,2.01526e-08
0.000114291,2.02456e-08
0.000114554,2.03391e-08
0.000114819,2.0433e-08
0.000115083,2.05273e-08
0.000115349,2.06221e-08
0.000115615,2.07173e-08
0.000115881,2.08129e-08
0.000116148,2.0909e-08
0.000116416,2.10056e-08
0.000116685,2.11025e-08
0.000116954,2.12e-08
0.000117223,2.12978e-08
0.000117494,2.13962e-08
0.000117764,2.14949e-08
0.000118036,2.15942e-08
0.000118308,2.16939e-08
0.000118581,2.1794e-08
0.000118854,2.18946e-08
0.000119128,2.19957e-08
0.000119403,2.20973e-08
0.000119678,2.21993e-08
0.000119954,2.23018e-08
0.000120231,2.24047e-08
0.000120508,2.25082e-08
0.000120786,2.26121e-08
0.000121064,2.27165e-08
0.000121344,2.28214e-08
0.000121623,2.29267e-08
0.000121904,2.30326e-08
0.000122185,2.31389e-08
0.000122467,2.32457e-08
0.000122749,2.3353e-08
0.000123032,2.34609e-08
0.000123316,2.35692e-08
0.0001236,2.3678e-08
0.000123885,2.37873e-08
0.000124171,2.38971e-08
0.000124457,2.40074e-08
0.000124744,2.41183e-08
0.000125031,2.42296e-08
0.00012532,2.43415e-08
0.000125609,2.44539e-08
0.000125898,2.45668e-08
0.000126189,2.46802e-08
0.00012648,2.47941e-08
0.000126771,2.49086e-08
0.000127063,2.50236e-08
0.000127356,2.51391e-08
0.00012765,2.52552e-08
0.000127944,2.53718e-08
0.000128239,2.54889e-08
0.000128535,2.56066e-08
0.000128831,2.57248e-08
0.000129129,2.58436e-08
0.000129426,2.59629e-08
0.000129725,2.60827e-08
0.000130024,2.62032e-08
0.000130324,2.63241e-08
0.000130624,2.64457e-08
0.000130925,2.65677e-08
0.000131227,2.66904e-08
0.00013153,2.68136e-08
0.000131833,2.69374e-08
0.000132137,2.70618e-08
0.000132442,2.71867e-08
0.000132747,2.73122e-08
0.000133053,2.74383e-08
0.00013336,2.7565e-08
0.000133667,2.76923e-08
0.000133976,2.78201e-08
0.000134284,2.79485e-08
0.000134594,2.80776e-08
0.000134904,2.82072e-08
0.000135215,2.83374e-08
0.000135527,2.84682e-08
0.00013584,2.85997e-08
0.000136153,2.87317e-08
0.000136467,2.88644e-08
0.000136781,2.89976e-08
0.000137097,2.91315e-08
0.000137413,2.9266e-08
0.00013773,2.94011e-08
0.000138047,2.95368e-08
0.000138366,2.96732e-08
0.000138685,2.98102e-08
0.000139004,2.99478e-08
0.000139325,3.00861e-08
0.000139646,3.0225e-08
0.000139968,3.03645e-08
0.000140291,3.05047e-08
0.000140614,3.06455e-08
0.000140939,3.0787e-08
0.000141264,3.09291e-08
0.000141589,3.10719e-08
0.000141916,3.12154e-08
0.000142243,3.13595e-08
0.000142571,3.15043e-08
0.0001429,3.16497e-08
0.000143229,3.17958e-08
0.000143559,3.19426e-08
0.00014389,3.20901e-08
0.000144222,3.22383e-08
0.000144555,3.23871e-08
0.000144888,3.25366e-08
0.000145222,3.26868e-08
0.000145557,3.28377e-08
0.000145892,3.29893e-08
0.000146229,3.31416e-08
0.000146566,3.32946e-08
0.000146904,3.34484e-08
0.000147243,3.36028e-08
0.000147582,3.37579e-08
0.000147922,3.39138e-08
0.000148263,3.40703e-08
0.000148605,3.42276e-08
0.000148948,3.43856e-08
0.000149291,3.45444e-08
0.000149636,3.47039e-08
0.000149981,3.48641e-08
0.000150326,3.5025e-08
0.000150673,3.51867e-08
0.00015102,3.53492e-08
0.000151369,3.55124e-08
0.000151718,3.56763e-08
0.000152068,3.58411e-08
0.000152418,3.60065e-08
0.00015277,3.61728e-08
0.000153122,3.63398e-08
0.000153475,3.65075e-08
0.000153829,3.66761e-08
0.000154183,3.68454e-08
0.000154539,3.70155e-08
0.000154895,3.71864e-08
0.000155252,3.73581e-08
0.00015561,3.75305e-08
0.000155969,3.77038e-08
0.000156329,3.78779e-08
0.000156689,3.80527e-08
0.00015705,3.82284e-08
0.000157413,3.84049e-08
0.000157776,3.85822e-08
0.000158139,3.87603e-08
0.000158504,3.89393e-08
0.000158869,3.91191e-08
0.000159236,3.92997e-08
0.000159603,3.94811e-08
0.000159971,3.96634e-08
0.00016034,3.98465e-08
0.000160709,4.00304e-08
0.00016108,4.02152e-08
0.000161451,4.04009e-08
0.000161824,4.05874e-08
0.000162197,4.07748e-08
0.000162571,4.09631e-08
0.000162946,4.11522e-08
0.000163321,4.13422e-08
0.000163698,4.1533e-08
0.000164075,4.17248e-08
0.000164454,4.19174e-08
0.000164833,4.21109e-08
0.000165213,4.23053e-08
0.000165594,4.25006e-08
0.000165976,4.26969e-08
0.000166358,4.2894e-08
0.000166742,4.3092e-08
0.000167126,4.3291e-08
0.000167512,4.34908e-08
0.000167898,4.36916e-08
0.000168285,4.38933e-08
0.000168673,4.4096e-08
0.000169062,4.42995e-08
0.000169452,4.45041e-08
0.000169842,4.47095e-08
0.000170234,4.49159e-08
0.000170626,4.51233e-08
0.00017102,4.53316e-08
0.000171414,4.55409e-08
0.000171809,4.57511e-08
0.000172206,4.59624e-08
0.000172603,4.61746e-08
0.000173001,4.63877e-08
0.000173399,4.66019e-08
0.000173799,4.6817e-08
0.0001742,4.70332e-08
0.000174602,4.72503e-08
0.000175004,4.74685e-08
0.000175408,4.76876e-08
0.000175812,4.79078e-08
0.000176218,4.81289e-08
0.000176624,4.83511e-08
0.000177031,4.85744e-08
0.000177439,4.87986e-08
0.000177848,4.90239e-08
0.000178258,4.92502e-08
0.000178669,4.94776e-08
0.000179081,4.9706e-08
0.000179494,4.99355e-08
0.000179908,5.01661e-08
0.000180323,5.03977e-08
0.000180739,5.06303e-08
0.000181156,5.08641e-08
0.000181573,5.10989e-08
0.000181992,5.13348e-08
0.000182411,5.15718e-08
0.000182832,5.18099e-08
0.000183254,5.20491e-08
0.000183676,5.22894e-08
0.0001841,5.25308e-08
0.000184524,5.27733e-08
0.00018495,5.30169e-08
0.000185376,5.32617e-08
0.000185803,5.35076e-08
0.000186232,5.37546e-08
0.000186661,5.40028e-08
0.000187092,5.42521e-08
0.000187523,5.45026e-08
0.000187955,5.47542e-08
0.000188389,5.5007e-08
0.000188823,5.52609e-08
0.000189259,5.55161e-08
0.000189695,5.57724e-08
0.000190132,5.60299e-08
0.000190571,5.62885e-08
0.00019101,5.65484e-08
0.00019145,5.68095e-08
0.000191892,5.70717e-08
0.000192334,5.73352e-08
0.000192778,5.75999e-08
0.000193222,5.78659e-08
0.000193668,5.8133e-08
0.000194114,5.84014e-08
0.000194562,5.8671e-08
0.000195011,5.89419e-08
0.00019546,5.9214e-08
0.000195911,5.94874e-08
0.000196363,5.9762e-08
0.000196815,6.00379e-08
0.000197269,6.03151e-08
0.000197724,6.05935e-08
0.00019818,6.08733e-08
0.000198637,6.11543e-08
0.000199095,6.14367e-08
0.000199554,6.17203e-08
0.000200014,6.20052e-08
0.000200475,6.22915e-08
0.000200937,6.25791e-08
0.000201401,6.2868e-08
0.000201865,6.31582e-08
0.00020233,6.34498e-08
0.000202797,6.37427e-08
0.000203265,6.4037e-08
0.000203733,6.43327e-08
0.000204203,6.46297e-08
0.000204674,6.4928e-08
0.000205146,6.52278e-08
0.000205619,6.55289e-08
0.000206093,6.58315e-08
0.000206568,6.61354e-08
0.000207044,6.64407e-08
0.000207522,6.67475e-08
0.000208,6.70556e-08
0.00020848,6.73652e-08
0.00020896,6.76762e-08
0.000209442,6.79886e-08
0.000209925,6.83025e-08
0.000210409,6.86179e-08
0.000210894,6.89346e-08
0.000211381,6.92529e-08
0.000211868,6.95726e-08
0.000212356,6.98938e-08
0.000212846,7.02165e-08
0.000213337,7.05407e-08
0.000213829,7.08663e-08
0.000214322,7.11935e-08
0.000214816,7.15222e-08
0.000215311,7.18524e-08
0.000215808,7.21841e-08
0.000216305,7.25174e-08
0.000216804,7.28521e-08
0.000217304,7.31885e-08
0.000217805,7.35264e-08
0.000218307,7.38658e-08
0.00021881,7.42068e-08
0.000219315,7.45494e-08
0.000219821,7.48936e-08
0.000220327,7.52394e-08
0.000220835,7.55867e-08
0.000221345,7.59357e-08
0.000221855,7.62863e-08
0.000222367,7.66385e-08
0.000222879,7.69923e-08
0.000223393,7.73477e-08
0.000223908,7.77048e-08
0.000224424,7.80636e-08
0.000224942,7.8424e-08
0.000225461,7.8786e-08
0.00022598,7.91497e-08
0.000226501,7.95152e-08
0.000227024,7.98823e-08
