# xyscan Version 4.6.4
# Date: Fri Apr  3 00:27:15 2026
# Scanned by: elian
# Source: Clipboard
# Comment: 
# Format: x, y, -dy, +dy
40.609781,20035.043,581.32774,843.15886
45.838923,22275.43,899.58541,937.44374
51.741398,22014.61,1502.0219,1198.2632
299.63506,33639.863,6104.0631,6264.742
338.21774,29378.573,5045.931,4860.8833
384.08763,32663.784,5610.1841,5629.2876
# EoF
